"words","class","group","rooms","תרגום רצוי, אבל בלתי אפשרי (צמד מילים, או מילה שהופיעה במקום אחר)","comments","0.6866666667"
"e | east | מזרח | מזרחה | קדם | קדמה","NOUN","2401","in 015, 700","","",""
"leech | pod | pustule | תרמיל | מיכל","NOUN","2399","in 015, 700, 703","","",""
"north | צפון | צפונה","NOUN","2400","in 015, 700, 703","","",""
"her | אותה | שלה","PRONOUN","109","in 025","","",""
"pay | שלם","NOUN | IMPERATIVE_VERB","1123","in 025","","",""
"bitch | broad | female | girl | lady | slut | whore | woman | דודה | זאתי | בחורה | אישה | אשה | גברת | גבירה | אדונית | חביבה | בת","NOUN","2053","in 025","","",""
"him | אותו | שלו","PRONOUN","107","in 025, 028, 029","","",""
"order | הזמן | הזמנה","NOUN | IMPERATIVE_VERB","1091","in 025, 028, 029","","",""
"menu | תפריט","NOUN","2304","in 025, 028, 029","","",""
"dinner | food | meal | supper | ארוחה | סעודה | אוכל","NOUN","2305","in 025, 028, 029","","",""
"read | קרא","IMPERATIVE_VERB","1138","in 025, 028, 029, 042, 043, 044, 290, 470","","",""
"alien | lifeform | חוצן | חיזר | חייזר","NOUN","2186","in 025, 028, 029, 043, 047, 470","","",""
"kiss | תנשק | נשיקה","NOUN | IMPERATIVE_VERB","1114","in 025, 028, 029, 053, 085, 470, 700, 703","","",""
"clerk | employee | לבלר | פקיד | עובד | נציג","NOUN","2040","in 025, 028, 029, 069","","",""
"bystander | controller | person | technician | worker | טכנאי | | אדם | בקר","NOUN","2043","in 025, 028, 029, 093, 702","","",""
"buy | purchase | קנה | רכוש","IMPERATIVE_VERB | NOUN","1090","in 025, 028, 029, 470","","",""
"menace | איום | סכנה | מטרד","NOUN","2430","in 025, 029, 043","","",""
"lip | teeth | tooth | שפה | שן | שיניים","NOUN","2236","in 025, 047","","",""
"bill | buck | buckazoid | cash | coin | currency | dollar | money | כסף | זוזואיד | שקל | מטבע | מזומן","NOUN","2311","in 025, 290","","",""
"bye | goodbye | להתראות | סלמאת","NOUN","2057","in 025, 290, 470","","",""
"trade | סחור","IMPERATIVE_VERB","1188","in 025, 470","","",""
"monolith | מונולית","NOUN","2022","in 027","","",""
"  enterprise | אנטרפרייז | אנטרפריז","NOUN","2030","in 027","","",""
"burger | בורגר | המבורגר","NOUN","2023","in 027, 028, 029","","",""
"cafe | diner | restaurant | קפה | מסעדה","NOUN","2025","in 027, 028, 029","","",""
"away | רחוק | הרחק","ADVERB","326","in 028, 029","","",""
"being | ","NOUN","2044","in 028, 029","","",""
"customer | patron | לקוח | קונה","NOUN","2046","in 028, 029","","",""
"booth | תא","NOUN","2238","in 028, 029","","",""
"bag | שק | תיק","NOUN","2310","in 028, 029","","",""
"table | שולחן","NOUN","2116","in 028, 029, 043","","",""
"drink | שתה | שתיה","NOUN | IMPERATIVE_VERB","1102","in 028, 029, 091","","",""
"folk | people | אנשים","NOUN","2051","in 028, 029, 095, 702","","",""
"ask | inquire | request | שאל | בקש ","IMPERATIVE_VERB | NOUN","1166","in 028, 029, 470","","",""
"counter | דלפק","NOUN","2118","in 028, 029, 470","","",""
"grafitti | גרפיטי","NOUN","2419","in 029","","",""
"tilt | הטה | כופף","IMPERATIVE_VERB","1190","in 029, 290","","",""
"astro | chicken | אסטרו | עוף","NOUN","2145","in 029, 290","","",""
"game | משחק","NOUN","2161","in 029, 290","","",""
"dune | חולית | דיונה","NOUN","2071","in 041, 046, 050, 501","","",""
"feet | foot | רגליים","NOUN","2313","in 042, 043","","",""
"entrance | מבואה","NOUN","2272","in 042, 043, 081, 095","","",""
"leg | רגל","NOUN","2239","in 042, 043, 700, 703","","",""
"sign | סימן | אות | אותת | סמן","NOUN | IMPERATIVE_VERB","2431","in 042, 044, 081","","",""
"toe | בוהן | בהן","NOUN","2403","in 042, 054, 501","","",""
"flashing | מהבהב","ADJECTIVE","518","in 043","","",""
"knock | rap | הקש | דפוק","IMPERATIVE_VERB","1030","in 043","","",""
"mom | mother | אמא","NOUN","2031","in 043","","",""
"dad | father | אבא","NOUN","2032","in 043","","",""
"car | hovercraft | hoverwagon | wagon | רכב | מכונית | רחפת | עגלה","NOUN","2197","in 043","","",""
"neon | ניאון | נאון","NOUN","2256","in 043","","",""
"slime | שד","NOUN","2283","in 043","","לא תרגום מילולי, אבל הוא הוגדר כ'שד' ב look",""
"s | south | דרום | דרומה | נגב | נגבה","NOUN","2402","in 043","","",""
"lawn | turf | מדשאה | דשא","NOUN","2447","in 043","","",""
"devil | שטן","NOUN","2448","in 043","","הורדתי את 'שד' כדי לתמוך ב slime, שיש לו תשובה יותר ספציפית",""
"hill | גבעה","NOUN","2404","in 043, 047","","",""
"building | house | shack | structure | בניין | בית | בקתה | מבנה","NOUN","2255","in 043, 072, 073, 074, 075, 081, 700","","",""
"display | show | הראה | תצוגה","IMPERATIVE_VERB | NOUN","1179","in 043, 090, 470","","",""
"boy | child | kid | ילד | ילדון | זאטוט","NOUN","2034","in 043, 093, 095","","",""
"blatz | fester | בלאץ | פסטר","NOUN","2033","in 043, 421, 470","","",""
"bank | גדה | בנק","NOUN","2249","in 046","","",""
"rock | stone | אבן | סלע","NOUN","2343","in 048, 050, 051, 052, 069, 070, 080, 470, 501, 600","","",""
"tongue | לשון","NOUN","2393","in 052","","",""
"orat | orat-on-a-stick | אוראט | אוראט-על-מקל","NOUN","2171","in 052, 421","","",""
"feed | הזנה","IMPERATIVE_VERB","1013","in 053","","(סימניה לצביקה)",""
"bridle | ריסון","IMPERATIVE_VERB","1185","in 053","","",""
"charm | קסם","IMPERATIVE_VERB","1186","in 053","","",""
"cruncher | crusher | grinder | shredder | מגרסה | משחטה | מטחנה","NOUN","2391","in 053","","",""
"snake | נחש","NOUN","2392","in 053","","",""
"butte | mountain | plateau | rim | רמה | הר | רכס","NOUN","2253","in 054, 072, 501","","",""
"desert | מדבר","NOUN","2072","in 054, 501","","",""
"cloud | ענן","NOUN","2288","in 054, 501","","",""
"lightning | ברק","NOUN","2374","in 054, 501","","",""
"bubble | בועה","NOUN","2103","in 060","","",""
"across | ממול | מנגד","PREPOSITION","210","in 066","","",""
"canyon | chasm | crevice | fissure | gorge | קניון | ערוץ | נקיק | חריץ | בקיע | סדק | תהום","NOUN","2094","in 066, 600","","",""
"seismic | סיסמי | סיסמית","ADJECTIVE","582","in 069","","",""
"research | מחקר","ADJECTIVE","583","in 069","","",""
"station | תחנה","NOUN","2013","in 069","","",""
"antenna | אנטנה | משושה","NOUN","2359","in 069","","",""
"boulder | סלע | אבן","NOUN","2342","in 069, 070, 080, 600","","",""
"detonator | thermal | נפץ | מרעום | רימון | תרמי","NOUN","2183","in 069, 075, 600","","",""
"flunky | lackey | minion | pirate | שודד | פיראט |  משרת","NOUN","2038","in 069, 081, 085","","",""
"equipment | ציוד","NOUN","2131","in 069, 421","","",""
"scope | telescope | טלסקופ | משקפת","NOUN","2121","in 069, 690","","",""
"scout | סיור","NOUN","2387","in 070, 421","","",""
"skull | גולגולת","NOUN","2406","in 070, 470","","",""
"beam | field | force | ray | קרן | קרינה | כוח | כח","NOUN","2276","in 072, 073, 074, 075, 085, 690, 700, 703","","",""
"lava | magma | לבה | מגמה | מאגמה","NOUN","2258","in 073, 074, 075, 600","","",""
"bomb | פצצה","NOUN","2260","in 075","","",""
"pestulon | פסטולון","NOUN","2021","in 075, 470","","",""
"moon | planet | ירח | כוכב | פלנטה","NOUN","2156","in 075, 600, 690","","",""
"tree | עץ","NOUN","2120","in 080","","",""
"banner | flag | pennant | כרזה | שלט | דגל","NOUN","2414","in 080","","",""
"guard | jailer | סוהר | שומר","NOUN","2036","in 081, 085, 095, 503","","",""
"deactivate | נתק | כבה | נטרל | השבת","IMPERATIVE_VERB","1063","in 081, 085, 503","","",""
"dog | wolf | wolve | כלב | זאב","NOUN","2409","in 081, 470","","",""
"scumsoft | טינופתסופט","NOUN","2410","in 081, 470","","",""
"soft | סופט","NOUN","2411","in 081, 470","","",""
"a","ARTICLE","2","in 090","","",""
"latch | lock | מנעול | בריח","IMPERATIVE_VERB | NOUN","1108","in 090","","",""
"change | החלף","NOUN | IMPERATIVE_VERB","1120","in 090","","",""
"pocket | כיס","NOUN | IMPERATIVE_VERB","1122","in 090","","",""
"find | locate | מצא | אתר","IMPERATIVE_VERB","1151","in 090","","",""
"janitor | שרת | מנקה","NOUN","2001","in 090","","",""
"keylock | scanner | סורק","NOUN","2014","in 090","","",""
"closet | ארון","NOUN","2106","in 090","","",""
"life | חיים","NOUN","2151","in 090","","",""
"position | מיקום | מקם | מקום","NOUN | IMPERATIVE_VERB","2300","in 090","","",""
"girder | קורה","NOUN","2396","in 090","","",""
"copy | duplicate | photocopy | עותק | צילום | העתק | שכפול","NOUN | IMPERATIVE_VERB","1184","in 090, 092","","",""
"original | painting | photo | photograph | picture | portrait | תמונה | דיוקן | ציור | מקורי | תצלום","NOUN","2302","in 090, 092","","",""
"unlock | פתח","IMPERATIVE_VERB","1028","in 090, 093","","",""
"key | מפתח","NOUN","2108","in 090, 093","","",""
"card | keycard | כרטיס","NOUN","2137","in 090, 093, 470","","",""
"crack | line | stripe","NOUN | IMPERATIVE_VERB","1125","in 090, 095, 600","","",""
"mr | מר","ADJECTIVE","573","in 090, 095, 702","","",""
"blast | disintegrate | vaporize | zap","IMPERATIVE_VERB","1182","in 090, 095, 702","","",""
"mrgarbage | vaporizer | מאדה","NOUN","2008","in 090, 095, 702","","",""
"right | ימין | ימינה","NOUN","2347","in 090, 095, 702","","",""
"hold | החזק","NOUN | IMPERATIVE_VERB","1087","in 090, 421, 700, 703","","",""
"fart | leak | pee | piss | urinate","IMPERATIVE_VERB | NOUN","1176","in 091","","",""
"water | מים","NOUN | IMPERATIVE_VERB","2135","in 091","","",""
"brush | bush | flora | foliage | plant | shrub | vegetation | weed","IMPERATIVE_VERB | NOUN","2361","in 091","","",""
"calendar","NOUN","2002","in 091, 702","","",""
"make | עשה | הכן","IMPERATIVE_VERB","1009","in 092","","",""
"copier","NOUN","2005","in 092","","",""
"elmo | president | pug | אלמו | נשיא | פאג","NOUN","2376","in 092, 093, 095","","",""
"hang","IMPERATIVE_VERB","1012","in 092, 703","","",""
"drawer | מגירה","NOUN","2107","in 093","","",""
"boss | leader | manager | מנהל | מנהיג | בוס | בעלים","NOUN","2289","in 093","","",""
"complex | מרוכב","NOUN","2432","in 093","","",""
"desk | שולחן","NOUN","2117","in 093, 702","","",""
"combat | fight","IMPERATIVE_VERB","1001","in 095","","",""
"free | untie | שחרר | התר","IMPERATIVE_VERB","1098","in 095","","",""
"melt","IMPERATIVE_VERB","1189","in 095","","",""
"aisle | bridge | walkway","NOUN","2017","in 095","","",""
"gel | gelatin | gello | jello | ג'לי","NOUN","2373","in 095","","",""
"feel | pat | pet | poke | polish | rub | stroke | tap | touch","IMPERATIVE_VERB","1017","in 095, 700, 702","","",""
"eightprong | eightpronged | pin | pined | prong | pronged","NOUN","2426","in 095, 702","","",""
"accountant","NOUN","2427","in 095, 702","","",""
"release","NOUN | IMPERATIVE_VERB","1097","in 095, 703","","",""
"decode","IMPERATIVE_VERB","1193","in 290","","",""
"instruction | הוראות | הנחיות","NOUN","2221","in 290","","",""
"letter | message | printing | writing | מכתב | הודעה | מסר | כתב | תדפיס","NOUN","2322","in 290","","",""
"relic | remnant","NOUN","2442","in 290","","",""
"aid | assist | care | help","IMPERATIVE_VERB | NOUN","1105","in 290, 997","","",""
"quit | צא","IMPERATIVE_VERB","1170","in 290, 997","","",""
"rope | חבל","NOUN | IMPERATIVE_VERB","2345","in 421","","",""
"overhang","NOUN","2394","in 421","","",""
"bolt | nut","NOUN","2395","in 421","","",""
"swing","IMPERATIVE_VERB","1019","in 421, 700","","",""
"body | carcass | corpse | גופה","NOUN","2200","in 421, 700, 703","","",""
"sell","IMPERATIVE_VERB","1035","in 470","","",""
"shop","NOUN | IMPERATIVE_VERB","1118","in 470","","",""
"store","NOUN | IMPERATIVE_VERB","1119","in 470","","",""
"face","NOUN | IMPERATIVE_VERB","1124","in 470","","",""
"rob | steal | swipe","NOUN","2060","in 470","","",""
"owner","NOUN","2144","in 470","","",""
"shirt | חולצה","NOUN","2243","in 470","","",""
"shelf | shelves","NOUN","2303","in 470","","",""
"rack","NOUN","2346","in 470","","",""
"postcard","NOUN","2372","in 470","","",""
"pilot | טייס | טיס","NOUN","2413","in 470","","",""
"glowing | נוצץ | זוהר","ADJECTIVE","543","in 470, 700, 703","","",""
"mouth","NOUN","2090","in 470, 700, 703","","",""
"cabinet | file","NOUN","2105","in 470, 702","","",""
"bug | insect | scorpazoid | scorpion | עקרב | עקרבות | חרק | חיפושית | חרפושית","NOUN","2176","in 501","","",""
"footprint","NOUN","2375","in 501","","",""
"dig","IMPERATIVE_VERB","1047","in 501, 700","","",""
"lie","NOUN | IMPERATIVE_VERB","1107","in 501, 700, 703","","",""
"ortega","NOUN","2020","in 600","","",""
"lake","NOUN","2136","in 600","","",""
"ledge","NOUN","2240","in 600","","",""
"cliff | צוק","NOUN","2252","in 600","","",""
"volcano | volcanoe | געש | וולקנו","NOUN","2257","in 600","","",""
"sharp","ADJECTIVE","581","in 700","","",""
"barbed","ADJECTIVE","585","in 700","","",""
"bend","IMPERATIVE_VERB","1198","in 700","","",""
"paint | צבע","NOUN | IMPERATIVE_VERB","2081","in 700","","",""
"coolant | fluid | liquid | lubricant | propellant","NOUN","2222","in 700","","",""
"frame | מסגרת | מסגר | תחום","NOUN | IMPERATIVE_VERB","2277","in 700","","",""
"end | סוף","NOUN","2424","in 700","","",""
"rib","NOUN","2438","in 700","","",""
"expectorate | spit","IMPERATIVE_VERB | NOUN","1072","in 700, 703","","",""
"whistle","NOUN | IMPERATIVE_VERB","1083","in 700, 703","","",""
"nap | sleep | snooze","IMPERATIVE_VERB","1156","in 700, 703","","",""
"write","IMPERATIVE_VERB","1159","in 700, 703","","",""
"lean","IMPERATIVE_VERB","1194","in 700, 703","","",""
"cry","IMPERATIVE_VERB","1202","in 700, 703","","",""
"laugh","IMPERATIVE_VERB","1203","in 700, 703","","",""
"self | wilco | ווילקו","NOUN","2047","in 700, 703","","",""
"can","NOUN | INDICATIVE_VERB","408","in 702","","",""
"chart","NOUN","2003","in 702","","",""
"department | office","NOUN","2065","in 702","","",""
"basket | סל","NOUN","2214","in 702","","",""
"paper | נייר | ניר","NOUN","2329","in 702","","",""
"from","PREPOSITION","201","in 703","","",""
"bar","NOUN","2011","in 703","","",""
"hosebag | rosella","NOUN","2379","in 703","","",""
"normal | נורמלי | רגיל | רגילה ","ADVERB","315","in 997","","זה, ושלושת הבאים, לשינוי מהירות",""
"faster | מהר","ADJECTIVE","557","in 997","","את זה והבא עדיף היה לתרגם עם ""יותר"", אבל לא נראה לי שווה את המאמץ לתמוך פה בביטוי.
במיוחד שעדיף לעבוד עם + ו - לשינויי מהירות, או עם התפריט...",""
"slower | לאט","ADJECTIVE","558","in 997","","",""
"restart","IMPERATIVE_VERB","1011","in 997","","כנ""ל, לא נראה לי חשוב לתמוך בביטוי ""התחלה מחדש""",""
"save | שמור","IMPERATIVE_VERB","1033","in 997","","",""
"restore | טען","IMPERATIVE_VERB","1034","in 997","","",""
"pause | השהה","IMPERATIVE_VERB","1171","in 997","","",""
":* | the","ARTICLE","1","","","מכאן ולמטה, אלו מילים שלא באמת צריך לתרגם!",""
"an","ARTICLE","3","","","אין להם שום תגובה במשחק באף חדר",""
"el","ARTICLE","4","","","אפשר לתרגם אותם, רק כדי שלא תצא שגיאה של מילה לא מזוהה",""
"la","ARTICLE","5","","","למשל, להוסיף a או the",""
"los","ARTICLE","6","","","מבחינת המשחק זה ""שקוף""",""
"and | וגם","CONJUNCTION","50","","","אז מזהים, וזורקים לפח",""
"or | או","CONJUNCTION","51","","","באופן דומה, הוספתי בעברית ""את""",""
"nor","CONJUNCTION","52","","","מזוהה, ונזרק לפח",""
"if | אם","CONJUNCTION","54","","","כך ש""קח את החוט"" שקול ל""קח החוט""",""
"but | אבל","CONJUNCTION","55","","","",""
"it","PRONOUN","100","","","אבל לא צריך לעבור על כולם ולתרגם",""
"this","PRONOUN","101","","","רק כאלה שיש סיכוי שמישהו יכתוב בפקודה ",""
"these | אלה | הללו","PRONOUN","102","","","",""
"that | זה","PRONOUN","103","","","",""
"those | אלו","PRONOUN","104","","","",""
"them | אותם | אותן","PRONOUN","105","","","",""
"themselves | עצמם","PRONOUN","106","","","",""
"himself | עצמו","PRONOUN","108","","","",""
"herself | עצמה","PRONOUN","110","","","",""
"i | me | myself | אני | עצמי | אנוכי | אנכי","NOUN","111","","","",""
"he | הוא | הלז | הלה | הלזה","NOUN","112","","","",""
"she | היא | זו | זאת | הלזו","NOUN","113","","","",""
"they | הם |","NOUN","114","","","",""
"ya | you | אתה","NOUN","115","","","",""
"yourself | עצמך","NOUN","116","","","",""
"we | אנחנו | אנו","NOUN","117","","","",""
"us","NOUN","118","","","",""
"ourselves | עצמנו","NOUN","119","","","",""
"until | עד","ASSOCIATION","150","","","",""
"while | בעוד | בעודו | בעודם | בעודן | בעודי | בעודה | בעודנו","ASSOCIATION","151","","","",""
"without | בלי","ASSOCIATION","153","","","",""
"for | עבור | בשביל","ASSOCIATION","154","","","",""
"about | בקשר | בנוגע | אודות | לגבי","ASSOCIATION","155","","","",""
"between | בין | בינות","PREPOSITION","209","","","",""
"behind | מאחורי","PREPOSITION | NOUN","213","","","",""
"ahead | מלפנים | בקדמת | מקדימה | לפני","PREPOSITION","214","","","",""
"front | חזית | פנים | פני","PREPOSITION | ADJECTIVE | NOUN","216","","","",""
"here | כאן | פה","PREPOSITION","218","","","",""
"there | שם","PREPOSITION","219","","","",""
"everywhere","PREPOSITION","220","","","",""
"nowhere","PREPOSITION","221","","","",""
"somewhere | איפשהו | איפהשהו | היכנשהו | במקום","PREPOSITION","222","","","",""
"toward | לכיוון | לעבר","PREPOSITION","225","","","",""
"of | של","PREPOSITION","229","","","",""
"how | איך | כיצד","ADVERB","300","","","",""
"where | איפה | היכן | איה |","ADVERB","301","","","",""
"when | מתי","ADVERB","302","","","",""
"why | למה | מדוע","ADVERB","303","","","",""
"what | which | מה | איזה","ADVERB","304","","","",""
"who | מי","ADVERB","305","","","",""
"soon | בקרוב | בהקדם | במהרה | תכף | מיד","ADVERB","306","","","",""
"sooner","ADVERB","307","","","",""
"soonest","ADVERB","308","","","",""
"now | עכשיו | כעת | הרגע","ADVERB","309","","","",""
"late | מאוחר","ADVERB","310","","","",""
"later","ADVERB","311","","","",""
"latest | אחרון","ADVERB","312","","","",""
"abnormal | strange | חריג | מוזר | משונה","ADVERB","316","","","",""
"so | כך","ADVERB","317","","","",""
"again | שוב | שנית","ADVERB","318","","","",""
"always | תמיד","ADVERB","319","","","",""
"never","ADVERB","320","","","",""
"then | אז | ואז |","ADVERB","321","","","",""
"together | יחד | ביחד | יחדיו","ADVERB","324","","","",""
"please | בבקשה | אנא | נא","ADVERB","325","","","",""
"along | לאורך","ADVERB","327","","","",""
"overboard","ADVERB","328","","","",""
"not | לא","ADVERB","329","","","",""
"almost | כמעט","ADVERB","330","","","",""
"affirmative | aye | certainly | ok | roger | sure | y | yea | yeah | yep | yes","ADVERB | NOUN","331","","","",""
"n | nay | negative | no | nope","ADVERB","332","","","",""
"dunno | maybe | possibly | probably | אולי | יתכן | אפשרי","ADVERB","333","","","",""
"do","INDICATIVE_VERB","400","","","",""
"did","INDICATIVE_VERB","401","","","",""
"does","NOUN | INDICATIVE_VERB","402","","","",""
"be","INDICATIVE_VERB","403","","","",""
"are | is | wheres | youre","INDICATIVE_VERB","404","","","",""
"am | im","INDICATIVE_VERB","405","","","",""
"was","INDICATIVE_VERB","407","","","",""
"will","NOUN | INDICATIVE_VERB","409","","","",""
"would","INDICATIVE_VERB","410","","","",""
"say","INDICATIVE_VERB","414","","","",""
"says","INDICATIVE_VERB","415","","","",""
"said","INDICATIVE_VERB","416","","","",""
"have","INDICATIVE_VERB","417","","","",""
"has","INDICATIVE_VERB","418","","","",""
"had","INDICATIVE_VERB","419","","","",""
"tell","INDICATIVE_VERB","420","","","",""
"white | לבן","ADJECTIVE | NOUN","500","","","",""
"black | שחור","ADJECTIVE | NOUN","501","","","",""
"gold | זהב","ADJECTIVE | NOUN","503","","","",""
"silver","ADJECTIVE | NOUN","504","","","",""
"orange | כתום","ADJECTIVE | NOUN","505","","","",""
"blue | כחול","ADJECTIVE","506","","","",""
"pink | ורוד","ADJECTIVE","507","","","",""
"purple | סגול","ADJECTIVE","508","","","",""
"brown","ADJECTIVE","509","","","",""
"yellow | צהוב","ADJECTIVE","510","","","",""
"golden | זהוב | מוזהב","ADJECTIVE","511","","","",""
"red | אדום","ADJECTIVE","512","","","",""
"grey","ADJECTIVE","513","","","",""
"gray | אפור","ADJECTIVE","514","","","",""
"hard | קשה | קשיח","ADJECTIVE","515","","","",""
"famished | hungry | ravenous | starved | starving | רעב | מורעב | גווע","ADJECTIVE","516","","","",""
"everything | הכל","ADJECTIVE","517","","","",""
"grimy | old","ADJECTIVE","519","","","",""
"live","ADJECTIVE","521","","","",""
"own","ADJECTIVE","522","","","",""
"my","ADJECTIVE","523","","","",""
"his","ADJECTIVE","524","","","",""
"its","ADJECTIVE","525","","","",""
"your","ADJECTIVE","526","","","",""
"our","ADJECTIVE","527","","","",""
"their","ADJECTIVE","528","","","",""
"another","ADJECTIVE","530","","","",""
"other","ADJECTIVE","531","","","",""
"some","ADJECTIVE","532","","","",""
"young","ADJECTIVE","533","","","",""
"wet","ADJECTIVE","534","","","",""
"next","ADJECTIVE","536","","","",""
"new","ADJECTIVE","537","","","",""
"important","ADJECTIVE","538","","","",""
"urgent","ADJECTIVE","539","","","",""
"nasty","ADJECTIVE","540","","","",""
"marked","ADJECTIVE","541","","","",""
"low","ADJECTIVE","542","","","",""
"digital","ADJECTIVE","544","","","",""
"long","ADJECTIVE","545","","","",""
"real","ADJECTIVE","546","","","",""
"first","ADJECTIVE","547","","","",""
"electric | electrical","ADJECTIVE","548","","","",""
"fat | plump | turgid","ADJECTIVE","549","","","",""
"dead | deceased","ADJECTIVE","553","","","",""
"preceding | previous","ADJECTIVE","554","","","",""
"crude","ADJECTIVE","556","","","",""
"steering","ADJECTIVE","559","","","",""
"shooting","ADJECTIVE","560","","","",""
"second","ADJECTIVE","561","","","",""
"both","ADJECTIVE","562","","","",""
"uniformed","ADJECTIVE","563","","","",""
"timing","ADJECTIVE","564","","","",""
"extra | spare","ADJECTIVE","565","","","",""
"fluorescent","ADJECTIVE","566","","","",""
"coagulated","ADJECTIVE","567","","","",""
"single","ADJECTIVE","568","","","",""
"proper","ADJECTIVE","570","","","",""
"facial","ADJECTIVE","571","","","",""
"composite","ADJECTIVE","572","","","",""
"retractable","ADJECTIVE","587","","","",""
"welded","ADJECTIVE","589","","","",""
"janitorial","ADJECTIVE","590","","","",""
"security","ADJECTIVE","591","","","",""
"lime","ADJECTIVE","592","","","",""
"detention","ADJECTIVE","593","","","",""
"accounting","ADJECTIVE","594","","","",""
"thank","IMPERATIVE_VERB","1000","","","",""
"test","IMPERATIVE_VERB","1004","","","",""
"let | lets","IMPERATIVE_VERB","1006","","","",""
"tighten","IMPERATIVE_VERB","1007","","","",""
"fill","IMPERATIVE_VERB","1010","","","",""
"lay","IMPERATIVE_VERB","1018","","","",""
"unload","IMPERATIVE_VERB","1021","","","",""
"wipe","IMPERATIVE_VERB","1022","","","",""
"chug","IMPERATIVE_VERB","1026","","","",""
"cheat","IMPERATIVE_VERB","1027","","","",""
"unlatch","IMPERATIVE_VERB","1029","","","",""
"awaken | wake","IMPERATIVE_VERB","1032","","","",""
"flush","IMPERATIVE_VERB","1036","","","",""
"slide","IMPERATIVE_VERB","1037","","","",""
"uncover","IMPERATIVE_VERB","1039","","","",""
"happen","IMPERATIVE_VERB","1040","","","",""
"pray","IMPERATIVE_VERB","1041","","","",""
"carry","IMPERATIVE_VERB","1042","","","",""
"transmit","IMPERATIVE_VERB","1043","","","",""
"damn","IMPERATIVE_VERB","1044","","","",""
"come","IMPERATIVE_VERB","1045","","","",""
"follow","IMPERATIVE_VERB","1046","","","",""
"rescue","IMPERATIVE_VERB","1048","","","",""
"scrape","IMPERATIVE_VERB","1049","","","",""
"point","NOUN | IMPERATIVE_VERB","1050","","","",""
"coat | smear | spread","IMPERATIVE_VERB | NOUN","1051","","","",""
"swim","IMPERATIVE_VERB","1052","","","",""
"type","IMPERATIVE_VERB","1054","","","",""
"sing","IMPERATIVE_VERB","1055","","","",""
"crush | squeeze","IMPERATIVE_VERB","1058","","","",""
"describe","IMPERATIVE_VERB","1061","","","",""
"bury","IMPERATIVE_VERB","1062","","","",""
"unbuckle | unfasten","IMPERATIVE_VERB","1067","","","",""
"dive","IMPERATIVE_VERB","1069","","","",""
"apply","IMPERATIVE_VERB","1071","","","",""
"rip | tear","IMPERATIVE_VERB","1073","","","",""
"disconnect","IMPERATIVE_VERB","1076","","","",""
"buzz","IMPERATIVE_VERB","1077","","","",""
"signal","NOUN | IMPERATIVE_VERB","1078","","","",""
"empty","ADJECTIVE | IMPERATIVE_VERB","1079","","","",""
"rest","ADJECTIVE | IMPERATIVE_VERB","1080","","","",""
"slip","NOUN | IMPERATIVE_VERB","1082","","","",""
"grip","NOUN | IMPERATIVE_VERB","1088","","","",""
"load","NOUN | IMPERATIVE_VERB","1089","","","",""
"check","NOUN | IMPERATIVE_VERB","1093","","","",""
"strip","NOUN | IMPERATIVE_VERB","1094","","","",""
"cruise","NOUN | IMPERATIVE_VERB","1096","","","",""
"speed","NOUN | IMPERATIVE_VERB","1100","","","",""
"sip","NOUN | IMPERATIVE_VERB","1101","","","",""
"lick","NOUN | IMPERATIVE_VERB","1103","","","",""
"answer","NOUN | IMPERATIVE_VERB","1106","","","",""
"name","NOUN | IMPERATIVE_VERB","1109","","","",""
"cut","NOUN | IMPERATIVE_VERB","1111","","","",""
"slice","NOUN | IMPERATIVE_VERB","1112","","","",""
"severe | stab","IMPERATIVE_VERB","1113","","","",""
"hug","NOUN | IMPERATIVE_VERB","1115","","","",""
"code","NOUN | IMPERATIVE_VERB","1116","","","",""
"deal","NOUN | IMPERATIVE_VERB","1117","","","",""
"dress","NOUN | IMPERATIVE_VERB","1121","","","",""
"buckle","NOUN | IMPERATIVE_VERB","1126","","","",""
"dust","NOUN | IMPERATIVE_VERB","1127","","","",""
"want","IMPERATIVE_VERB","1132","","","",""
"like","IMPERATIVE_VERB","1133","","","",""
"wish","NOUN | IMPERATIVE_VERB","1134","","","",""
"duck","NOUN | IMPERATIVE_VERB","1135","","","",""
"shake","NOUN | IMPERATIVE_VERB","1136","","","",""
"see","IMPERATIVE_VERB","1139","","","",""
"investigate","IMPERATIVE_VERB","1141","","","",""
"send | sent","IMPERATIVE_VERB","1144","","","",""
"freeze | halt","IMPERATIVE_VERB","1145","","","",""
"shove","IMPERATIVE_VERB","1146","","","",""
"administer | perform","IMPERATIVE_VERB","1155","","","",""
"breathe | inhale | snort","IMPERATIVE_VERB | NOUN","1158","","","",""
"capture | catch","IMPERATIVE_VERB","1160","","","",""
"interrogate | interview | question","IMPERATIVE_VERB | NOUN","1161","","","",""
"blow | suck","ADJECTIVE | IMPERATIVE_VERB","1164","","","",""
"chase | pursue","IMPERATIVE_VERB","1167","","","",""
"unscrew","IMPERATIVE_VERB","1172","","","",""
"dont","IMPERATIVE_VERB","1173","","","",""
"disarm","IMPERATIVE_VERB","1174","","","",""
"crap | defecate | dump","IMPERATIVE_VERB","1177","","","",""
"beg","IMPERATIVE_VERB","1180","","","",""
"warn","IMPERATIVE_VERB","1181","","","",""
"stock","NOUN","2004","","","",""
"memo","NOUN","2006","","","",""
"note","NOUN","2007","","","",""
"nose","NOUN","2009","","","",""
"mirror","NOUN","2010","","","",""
